# DD/MM/YYYY Weight(kg)
12/9/2023 3.335
04/10/2023 3.22
08/10/2023 3.35
13/10/2023 3.4
17/10/2023 3.47
22/10/2023 3.45
29/10/2023 3.47
03/11/2023 3.55
20/11/2023 3.52
24/11/2023 4
29/11/2023 4.06
01/12/2023 4.15
08/12/2023 4.25
10/12/2023 4.37
15/12/2023 4.54
20/12/2023 4.67
24/12/2023 4.79
28/12/2023 4.95
01/01/2024 5.09
03/01/2024 5.12
05/01/2024 5.19
11/01/2024 5.23
15/01/2024 5.48
21/01/2024 5.58
28/01/2024 5.70
03/02/2024 5.84
10/02/2024 5.85
13/02/2024 5.92
17/02/2024 6.00
24/02/2024 6.07
02/03/2024 6.26
09/03/2024 6.45
16/03/2024 6.58
23/03/2024 6.93
30/03/2024 6.95
